2100	2101	1000
2101	2102	1000
2102	2103	1000
2103	2104	1000
2104	2105	1000
2105	2106	1000
2106	2107	1000
2107	3107	1000
3100	3101	1
3101	3102	1
3102	3103	1
3103	3104	1
3104	3105	1
3105	3106	1
3106	3107	1
3107	4107	1000
4100	4101	1
4106	4107	1000
4107	5107	1000
5100	5101	1
5106	5107	1000
5107	6107	1000
6100	6101	1000
6101	6102	1000
6102	6103	1000
6103	6104	1000
6104	6105	1000
6105	6106	1000
6106	6107	1
6107	7107	1000
7100	7101	1000
7101	7102	1000
7102	7103	1000
7103	7104	1000
7104	7105	1000
7105	7106	1000
7106	7107	1
7107	8107	1000
8100	8101	1
8101	8102	1
8102	8103	1
8103	8104	1
8104	8105	1
8105	8106	1
8106	8107	1
8107	8107	0
2100	3100	1
3100	4100	1
4100	5100	1
5100	6100	1
6100	7100	1
7100	8100	1
2101	3101	1000
3101	4101	1000
4101	5101	1000
5101	6101	1000
6101	7101	1000
7101	8101	1000
2102	3102	1000
6102	7102	1000
7102	8102	1
2103	3103	1000
6103	7103	1000
7103	8103	1
2104	3104	1000
6104	7104	1000
7104	8104	1
2105	3105	1000
6105	7105	1000
7105	8105	1
2106	3106	1000
3106	4106	1
4106	5106	1
5106	6106	1
6106	7106	1000
7106	8106	1000
2107	2106	1
2106	2105	1
2105	2104	1
2104	2103	1
2103	2102	1
2102	2101	1
2101	2100	1
3107	3106	1000
3106	3105	1000
3105	3104	1000
3104	3103	1000
3103	3102	1000
3102	3101	1000
3101	3100	1000
4107	4106	1000
4101	4100	1000
5107	5106	1
5101	5100	1000
6107	6106	1
6106	6105	1
6105	6104	1
6104	6103	1
6103	6102	1
6102	6101	1
6101	6100	1
7107	7106	1
7106	7105	1
7105	7104	1
7104	7103	1
7103	7102	1
7102	7101	1
7101	7100	1
8107	8106	1000
8106	8105	1000
8105	8104	1000
8104	8103	1000
8103	8102	1000
8102	8101	1000
8101	8100	1000
8100	7100	1000
7100	6100	1000
6100	5100	1000
5100	4100	1000
4100	3100	1000
3100	2100	1
8101	7101	1
7101	6101	1
6101	5101	1
5101	4101	1
4101	3101	1000
3101	2101	1
8102	7102	1000
7102	6102	1000
3102	2102	1
8103	7103	1000
7103	6103	1
3103	2103	1
8104	7104	1000
7104	6104	1
3104	2104	1
8105	7105	1000
7105	6105	1
3105	2105	1
8106	7106	1000
7106	6106	1
6106	5106	1000
5106	4106	1000
4106	3106	1000
3106	2106	1000
8107	7107	1
7107	6107	1
6107	5107	1
5107	4107	1
4107	3107	1
3107	2107	1
